timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767104733.6494415,10,0,21518.5625,87.60202939260708,16.748046875,23.53515625,1.4,0.0
1767104733.7926033,1,0,21528.5625,87.64273937469468,304.150390625,0.29296875,1.5,0.0
1767104733.9346986,1,0,21528.5625,87.64273937469468,0.29296875,7750.439453125,2.6,0.0
1767104734.0769587,1,0,21528.5625,87.64273937469468,0.341796875,4535.791015625,2.5,7.0
1767104734.2191598,1,0,21528.5625,87.64273937469468,0.341796875,2885.498046875,2.2,0.0
1767104734.3613176,1,0,21528.5625,87.64273937469468,0.341796875,5528.41796875,2.1,0.0
1767104734.5034523,1,0,21528.5625,87.64273937469468,0.341796875,9784.765625,2.2,0.0
1767104734.6456022,1,0,21528.5625,87.64273937469468,364.55078125,5338.4765625,2.4,0.0
1767104734.787853,8,0,21528.5625,87.64273937469468,851.806640625,0.29296875,2.4,0.0
1767104734.9300282,8,0,21528.5625,87.64273937469468,805.46875,0.244140625,2.0,7.0
1767104735.0722895,8,0,21528.5625,87.64273937469468,694.7265625,0.341796875,2.0,0.0
1767104735.2146056,8,0,21528.5625,87.64273937469468,0.29296875,1365.0390625,2.0,0.0
1767104735.3567643,8,0,21528.5625,87.64273937469468,107.71484375,8379.4921875,2.6,0.0
1767104735.4988835,8,0,21528.5625,87.64273937469468,563.28125,3135.44921875,4.1,0.0
1767104735.6414502,8,0,21528.5625,87.64273937469468,851.708984375,0.29296875,2.6,7.0
1767104735.7838733,16,1,21528.5625,87.64273937469468,153.515625,0.29296875,2.3,7.0
1767104735.9259999,16,1,21528.5625,87.64273937469468,0.341796875,3919.580078125,2.5,0.0
1767104736.0679739,16,1,21528.5625,87.64273937469468,0.29296875,9784.814453125,2.3,0.0
1767104736.2101388,16,1,21528.5625,87.64273937469468,187.939453125,7381.201171875,2.0,0.0
1767104736.3524954,16,1,21528.5625,87.64273937469468,95.849609375,0.341796875,1.9,0.0
1767104736.5152483,16,1,21528.5625,87.64273937469468,829.4921875,0.537109375,1.9,0.0
1767104736.6574974,16,1,21528.5625,87.64273937469468,820.5078125,69.189453125,1.9,7.0
1767104736.799812,8,0,21528.5625,87.64273937469468,217.3828125,7100.537109375,2.0,0.0
1767104736.942054,8,0,21528.5625,87.64273937469468,2.099609375,9766.259765625,1.8,0.0
1767104737.084415,8,0,21528.5625,87.64273937469468,0.341796875,4665.771484375,2.0,0.0
1767104737.2265658,8,0,21528.5625,87.64273937469468,0.29296875,4330.615234375,1.9,0.0
1767104737.3687136,8,0,21528.5625,87.64273937469468,0.341796875,5577.001953125,1.9,7.0
1767104737.51094,8,0,21528.5625,87.64273937469468,2.44140625,9764.111328125,1.9,0.0
1767104737.653161,8,0,21528.5625,87.64273937469468,77.587890625,8673.6328125,1.8,0.0
1767104737.7954333,15,1,21528.5625,87.64273937469468,2.5390625,4.78515625,1.9,7.0
1767104737.9376054,15,1,21530.5625,87.6508813711122,0.341796875,0.29296875,0.6,0.0
1767104738.0797405,15,1,21530.5625,87.6508813711122,0.341796875,0.29296875,0.7,0.0
1767104738.2218826,15,1,21530.5625,87.6508813711122,7.470703125,26.3671875,0.5,0.0
1767104738.3641784,15,1,21558.5625,87.7648693209575,400.634765625,9797.509765625,2.1,0.0
