timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767162144.2892683,48,10,21558.5625,87.7648693209575,398.193359375,4923.2421875,3.1,0.0
1767162144.4322307,43,6,21558.5625,87.7648693209575,326.26953125,4581.787109375,3.2,0.0
1767162144.5743134,43,6,21558.5625,87.7648693209575,311.376953125,4937.353515625,3.1,7.0
1767162144.7162838,43,6,21558.5625,87.7648693209575,496.875,1489.404296875,3.2,0.0
1767162144.8580687,43,6,21558.5625,87.7648693209575,430.419921875,3720.21484375,3.1,0.0
1767162144.9997923,43,6,21558.5625,87.7648693209575,480.56640625,3703.02734375,3.3,0.0
1767162145.142077,43,6,21558.5625,87.7648693209575,306.201171875,4936.03515625,3.1,7.0
1767162145.283938,43,6,21558.5625,87.7648693209575,397.705078125,4905.859375,3.1,0.0
1767162145.4257388,51,10,21558.5625,87.7648693209575,324.8046875,4931.640625,3.2,0.0
1767162145.5674984,51,10,21558.5625,87.7648693209575,354.4921875,4930.6640625,3.5,0.0
1767162145.7098114,51,10,21558.5625,87.7648693209575,216.6015625,4929.736328125,3.5,0.0
1767162145.851711,51,10,21558.5625,87.7648693209575,429.78515625,4760.009765625,3.4,0.0
1767162145.9935484,51,10,21558.5625,87.7648693209575,533.203125,1269.43359375,3.0,0.0
1767162146.1353326,51,10,21558.5625,87.7648693209575,438.720703125,3353.076171875,3.2,7.0
1767162146.278041,51,10,21558.5625,87.7648693209575,321.19140625,3699.267578125,3.3,0.0
1767162146.4200501,25,5,21558.5625,87.7648693209575,216.552734375,4918.994140625,3.3,0.0
1767162146.5622244,25,5,21558.5625,87.7648693209575,368.994140625,3709.130859375,3.3,0.0
1767162146.7045481,25,5,21558.5625,87.7648693209575,324.072265625,3714.55078125,3.2,6.1
1767162146.8674378,25,5,21558.5625,87.7648693209575,427.392578125,3704.150390625,3.2,0.0
1767162147.0096295,25,5,21558.5625,87.7648693209575,322.607421875,4941.40625,3.2,0.0
1767162147.1513405,25,5,21558.5625,87.7648693209575,112.548828125,3692.67578125,3.4,0.0
1767162147.2938645,25,5,21558.5625,87.7648693209575,429.931640625,3704.19921875,3.2,0.0
1767162147.4360497,35,8,21558.5625,87.7648693209575,427.880859375,3702.5390625,3.2,0.0
1767162147.5783367,35,8,21558.5625,87.7648693209575,325.341796875,4918.1640625,3.1,7.0
1767162147.7205803,35,8,21558.5625,87.7648693209575,430.2734375,4935.3515625,3.5,0.0
1767162147.8628502,35,8,21558.5625,87.7648693209575,317.822265625,4234.130859375,3.2,0.0
1767162148.0052116,35,8,21558.5625,87.7648693209575,347.412109375,4327.587890625,3.2,0.0
1767162148.1474853,35,8,21558.5625,87.7648693209575,321.435546875,4927.24609375,3.3,7.0
1767162148.2899249,35,8,21558.5625,87.7648693209575,427.5390625,5307.958984375,3.2,0.0
1767162148.4322398,33,7,21558.5625,87.7648693209575,374.853515625,3025.048828125,3.2,0.0
1767162148.574551,33,7,21558.5625,87.7648693209575,428.515625,3700.390625,3.1,0.0
1767162148.716417,33,7,21558.5625,87.7648693209575,454.833984375,4362.6953125,3.4,0.0
