timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767161146.8965013,0,0,21520.5625,87.6101713890246,15.33203125,18.26171875,1.0,22.6
1767161147.0408638,0,0,21528.5625,87.64273937469468,0.341796875,0.29296875,1.7,0.0
1767161147.1829157,0,0,21528.5625,87.64273937469468,139.208984375,8013.0859375,3.6,0.0
1767161147.3251622,0,0,21528.5625,87.64273937469468,0.341796875,5763.037109375,3.5,0.0
1767161147.4673948,0,0,21528.5625,87.64273937469468,676.85546875,0.341796875,3.6,0.0
1767161147.6096137,30,1,21528.5625,87.64273937469468,270.751953125,6565.33203125,3.5,7.0
1767161147.7520287,30,1,21528.5625,87.64273937469468,0.341796875,9784.765625,3.5,0.0
1767161147.8941762,30,1,21528.5625,87.64273937469468,0.341796875,9590.478515625,3.4,0.0
1767161148.0362868,30,1,21528.5625,87.64273937469468,118.603515625,3455.6640625,3.8,0.0
1767161148.177989,30,1,21528.5625,87.64273937469468,0.390625,7042.236328125,3.4,0.0
1767161148.320138,30,1,21528.5625,87.64273937469468,1.5625,9770.751953125,3.5,0.0
1767161148.4623225,30,1,21528.5625,87.64273937469468,401.171875,4882.32421875,3.5,0.0
1767161148.6045918,18,1,21528.5625,87.64273937469468,649.658203125,0.341796875,4.1,7.0
1767161148.746739,18,1,21528.5625,87.64273937469468,153.564453125,6936.865234375,3.5,0.0
1767161148.8889027,18,1,21528.5625,87.64273937469468,2.197265625,9766.259765625,3.4,0.0
1767161149.0311666,18,1,21528.5625,87.64273937469468,853.61328125,0.29296875,3.5,0.0
1767161149.1732,18,1,21528.5625,87.64273937469468,358.203125,3554.6875,3.3,0.0
1767161149.3153718,18,1,21528.5625,87.64273937469468,0.341796875,9784.814453125,3.5,0.0
1767161149.4575076,18,1,21528.5625,87.64273937469468,2.44140625,9764.404296875,3.6,7.0
1767161149.5995755,19,1,21528.5625,87.64273937469468,449.51171875,4366.11328125,3.7,0.0
1767161149.7417579,19,1,21528.5625,87.64273937469468,2.63671875,4.345703125,3.3,0.0
1767161149.8839774,19,1,21530.5625,87.6508813711122,0.341796875,0.29296875,1.3,0.0
1767161150.0260117,19,1,21530.5625,87.6508813711122,0.341796875,0.29296875,0.9,7.0
1767161150.1680286,19,1,21530.5625,87.6508813711122,307.8125,4930.95703125,1.7,0.0
1767161150.3103118,19,1,21558.5625,87.7648693209575,798.876953125,6145.361328125,3.6,0.0
1767161150.4527056,19,1,21558.5625,87.7648693209575,950.927734375,7360.888671875,3.8,0.0
1767161150.6156464,67,9,21558.5625,87.7648693209575,1072.314453125,11531.982421875,3.8,7.0
1767161150.7579367,67,9,21558.5625,87.7648693209575,559.47265625,12099.365234375,3.6,0.0
1767161150.9004364,67,9,21558.5625,87.7648693209575,638.8671875,13251.46484375,3.8,0.0
1767161151.0427663,67,9,21558.5625,87.7648693209575,829.736328125,9044.384765625,3.7,0.0
1767161151.1851673,67,9,21558.5625,87.7648693209575,982.373046875,8081.34765625,3.9,0.0
1767161151.327029,67,9,21558.5625,87.7648693209575,746.826171875,10237.20703125,3.9,7.0
1767161151.469861,67,9,21558.5625,87.7648693209575,488.623046875,6145.947265625,3.7,0.0
1767161151.6119297,54,10,21558.5625,87.7648693209575,830.95703125,7127.978515625,3.8,0.0
1767161151.7542028,54,10,21558.5625,87.7648693209575,638.623046875,9807.421875,3.7,0.0
1767161151.8963835,54,10,21558.5625,87.7648693209575,1030.224609375,9813.76953125,3.7,0.0
1767161152.0384917,54,10,21558.5625,87.7648693209575,791.30859375,8588.57421875,3.7,0.0
1767161152.180764,54,10,21558.5625,87.7648693209575,741.69921875,9791.2109375,3.6,7.0
1767161152.3228633,54,10,21558.5625,87.7648693209575,827.392578125,7356.591796875,3.7,0.0
1767161152.465171,54,10,21558.5625,87.7648693209575,930.908203125,8584.9609375,3.6,0.0
1767161152.6073759,55,8,21558.5625,87.7648693209575,808.7890625,6872.021484375,3.8,0.0
1767161152.7496545,55,8,21558.5625,87.7648693209575,845.458984375,4920.849609375,3.8,0.0
1767161152.891768,55,8,21558.5625,87.7648693209575,595.751953125,9802.5390625,3.9,0.0
1767161153.0339618,55,8,21558.5625,87.7648693209575,661.62109375,8144.140625,3.7,7.0
1767161153.1761591,55,8,21558.5625,87.7648693209575,1057.177734375,9955.615234375,3.8,0.0
1767161153.318186,55,8,21558.5625,87.7648693209575,664.013671875,11667.138671875,3.7,0.0
1767161153.4602609,55,8,21558.5625,87.7648693209575,639.94140625,14065.72265625,3.8,7.0
1767161153.6022635,60,8,21558.5625,87.7648693209575,846.875,6143.603515625,3.8,0.0
1767161153.744334,60,8,21558.5625,87.7648693209575,835.693359375,11472.021484375,3.7,0.0
1767161153.8865554,60,8,21558.5625,87.7648693209575,657.71484375,12256.4453125,3.8,0.0
1767161154.0289576,60,8,21558.5625,87.7648693209575,599.365234375,11029.833984375,3.7,0.0
1767161154.1712523,60,8,21558.5625,87.7648693209575,848.53515625,7495.1171875,3.8,0.0
1767161154.313457,60,8,21558.5625,87.7648693209575,761.962890625,5151.806640625,3.7,0.0
1767161154.4556649,60,8,21558.5625,87.7648693209575,798.73046875,7375.732421875,3.9,0.0
1767161154.597798,60,8,21558.5625,87.7648693209575,660.986328125,10186.328125,3.7,7.0
1767161154.7402654,69,10,21558.5625,87.7648693209575,763.37890625,9242.1875,3.8,7.0
1767161154.8826878,69,10,21558.5625,87.7648693209575,686.71875,10363.0859375,3.7,0.0
1767161155.0249374,69,10,21558.5625,87.7648693209575,719.189453125,13485.302734375,3.7,0.0
1767161155.1670728,69,10,21558.5625,87.7648693209575,848.2421875,7050.927734375,3.7,0.0
1767161155.3091357,69,10,21558.5625,87.7648693209575,848.828125,7508.59375,3.6,0.0
