timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767155937.1441684,19,1,11070.5625,45.06824010747435,0.87890625,34.86328125,0.4,0.0
1767155937.288636,19,1,11082.5625,45.11709208597948,0.341796875,11.767578125,0.4,0.0
1767155937.4305317,19,1,11082.5625,45.11709208597948,0.341796875,21.044921875,1.9,0.0
1767155937.5728803,19,1,11082.5625,45.11709208597948,16.064453125,0.341796875,2.0,7.0
1767155937.7150817,1,0,11082.5625,45.11709208597948,0.341796875,20.99609375,2.0,0.0
1767155937.8570662,1,0,11082.5625,45.11709208597948,0.341796875,0.29296875,2.0,0.0
1767155937.9993494,1,0,11082.5625,45.11709208597948,16.064453125,0.341796875,2.0,0.0
1767155938.1415074,1,0,11082.5625,45.11709208597948,16.11328125,0.29296875,1.9,7.0
1767155938.2835486,1,0,11082.5625,45.11709208597948,1.513671875,6.93359375,2.0,0.0
1767155938.425579,1,0,11082.5625,45.11709208597948,0.341796875,20.99609375,2.0,0.0
1767155938.5675738,1,0,11082.5625,45.11709208597948,0.341796875,21.044921875,2.0,0.0
1767155938.7096841,1,0,11082.5625,45.11709208597948,0.341796875,20.99609375,2.0,0.0
1767155938.8516958,1,0,11082.5625,45.11709208597948,0.29296875,21.044921875,2.0,0.0
1767155938.9940295,1,0,11082.5625,45.11709208597948,0.341796875,21.044921875,1.9,0.0
1767155939.1362479,1,0,11082.5625,45.11709208597948,0.341796875,20.99609375,2.0,7.0
1767155939.2783844,1,0,11082.5625,45.11709208597948,0.341796875,15.13671875,1.9,0.0
1767155939.4205322,1,0,11082.5625,45.11709208597948,0.341796875,0.341796875,2.0,0.0
1767155939.5626543,1,0,11082.5625,45.11709208597948,16.11328125,0.29296875,2.0,0.0
1767155939.7048476,1,0,11082.5625,45.11709208597948,16.69921875,0.9765625,2.0,7.0
1767155939.8468885,1,0,11082.5625,45.11709208597948,20.01953125,0.341796875,2.0,0.0
1767155939.9896736,1,0,11082.5625,45.11709208597948,1.85546875,4.833984375,1.9,0.0
1767155940.1318479,1,0,11082.5625,45.11709208597948,0.341796875,21.044921875,2.0,0.0
1767155940.2738917,1,0,11082.5625,45.11709208597948,0.78125,3.955078125,1.8,0.0
1767155940.4162865,1,0,11082.5625,45.11709208597948,0.341796875,0.244140625,0.3,7.0
1767155940.558185,1,0,11082.5625,45.11709208597948,0.29296875,0.244140625,0.3,0.0
