timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767158749.6116288,10,1,11072.5625,45.07638210389187,17.626953125,50.048828125,0.5,0.0
1767158749.7545977,10,1,11082.5625,45.11709208597948,16.064453125,4.19921875,2.3,0.0
1767158749.8976076,10,1,11082.5625,45.11709208597948,0.341796875,20.99609375,3.9,7.0
1767158750.0395768,1,0,11082.5625,45.11709208597948,0.341796875,20.99609375,4.0,0.0
1767158750.181589,1,0,11082.5625,45.11709208597948,0.341796875,20.99609375,3.9,0.0
1767158750.3239753,1,0,11082.5625,45.11709208597948,0.341796875,21.044921875,3.9,0.0
1767158750.4667714,1,0,11082.5625,45.11709208597948,1.708984375,5.615234375,3.9,0.0
1767158750.6091423,1,0,11082.5625,45.11709208597948,16.064453125,20.99609375,3.8,0.0
1767158750.7517414,1,0,11082.5625,45.11709208597948,16.064453125,21.044921875,4.2,0.0
1767158750.8939054,1,0,11082.5625,45.11709208597948,16.064453125,21.044921875,3.9,0.0
1767158751.0361328,2,1,11082.5625,45.11709208597948,14.306640625,20.99609375,4.0,7.0
1767158751.1786027,2,1,11082.5625,45.11709208597948,0.341796875,20.99609375,4.0,7.0
1767158751.3210611,2,1,11082.5625,45.11709208597948,2.587890625,0.29296875,4.1,0.0
1767158751.4632044,2,1,11082.5625,45.11709208597948,16.11328125,0.29296875,3.9,0.0
1767158751.605565,2,1,11082.5625,45.11709208597948,0.341796875,0.29296875,1.6,0.0
1767158751.7482915,2,1,11082.5625,45.11709208597948,0.29296875,0.29296875,0.6,0.0
1767158751.889908,2,1,11082.5625,45.11709208597948,0.29296875,16.455078125,0.4,0.0
1767158752.0316293,0,0,11084.5625,45.125234082397,7.71484375,26.708984375,3.6,7.0
1767158752.1745996,0,0,11084.5625,45.125234082397,8.59375,32.275390625,3.7,0.0
1767158752.3185897,0,0,11104.5625,45.20665404657222,0.29296875,0.341796875,1.9,0.0
1767158752.4615612,0,0,11104.5625,45.20665404657222,1.220703125,0.29296875,0.5,0.0
1767158752.6031651,0,0,11104.5625,45.20665404657222,0.341796875,0.29296875,0.4,0.0
1767158752.7465372,0,0,11122.5625,45.279932014329916,0.341796875,0.29296875,0.4,0.0
1767158752.8887591,0,0,11176.5625,45.499765917603,8.642578125,33.7890625,1.9,0.0
1767158753.0310996,2,1,11176.5625,45.499765917603,8.154296875,32.373046875,3.8,7.0
1767158753.1738913,2,1,11180.5625,45.51604991043804,8.251953125,31.640625,3.6,0.0
1767158753.3162975,2,1,11180.5625,45.51604991043804,6.494140625,31.005859375,3.8,0.0
1767158753.458915,2,1,11180.5625,45.51604991043804,8.0078125,33.251953125,3.8,0.0
1767158753.6012135,2,1,11180.5625,45.51604991043804,8.154296875,30.712890625,3.6,0.0
1767158753.7438061,2,1,11180.5625,45.51604991043804,8.203125,30.76171875,3.8,0.0
1767158753.8885658,2,1,11180.5625,45.51604991043804,8.447265625,38.18359375,3.8,7.0
1767158754.031324,10,4,11180.5625,45.51604991043804,7.71484375,35.498046875,3.8,0.0
1767158754.1737545,10,4,11180.5625,45.51604991043804,8.447265625,35.400390625,3.6,0.0
1767158754.3164878,10,4,11180.5625,45.51604991043804,7.8125,35.05859375,3.7,0.0
1767158754.4588628,10,4,11180.5625,45.51604991043804,8.69140625,30.37109375,3.8,7.0
1767158754.6012127,10,4,11180.5625,45.51604991043804,6.103515625,34.08203125,3.6,0.0
1767158754.7438724,10,4,11180.5625,45.51604991043804,8.154296875,32.763671875,3.7,0.0
1767158754.887798,10,4,11180.5625,45.51604991043804,7.470703125,30.419921875,3.8,0.0
1767158755.0309668,10,4,11180.5625,45.51604991043804,7.51953125,40.8203125,3.8,7.0
1767158755.1737418,10,4,11180.5625,45.51604991043804,8.154296875,32.71484375,3.7,7.0
1767158755.3163989,10,4,11180.5625,45.51604991043804,8.154296875,36.62109375,3.8,0.0
1767158755.4593718,10,4,11180.5625,45.51604991043804,8.544921875,35.546875,3.8,0.0
1767158755.6023912,10,4,11180.5625,45.51604991043804,8.3984375,35.791015625,3.8,0.0
1767158755.7459817,10,4,11180.5625,45.51604991043804,9.033203125,37.158203125,3.8,0.0
1767158755.8892624,10,4,11180.5625,45.51604991043804,8.154296875,30.859375,3.7,0.0
1767158756.03239,10,4,11180.5625,45.51604991043804,8.740234375,37.890625,3.7,0.0
1767158756.1755311,10,4,11180.5625,45.51604991043804,9.130859375,31.15234375,3.9,0.0
1767158756.3178682,10,4,11180.5625,45.51604991043804,8.30078125,37.98828125,3.8,7.0
1767158756.4608748,10,4,11180.5625,45.51604991043804,7.470703125,36.279296875,3.7,0.0
1767158756.6038501,10,4,11180.5625,45.51604991043804,8.642578125,37.890625,3.8,0.0
1767158756.7465672,10,4,11180.5625,45.51604991043804,8.69140625,37.939453125,3.8,0.0
