cpu_infer,prefetch_num,eval_count,eval_duration,eval_rate,hit_rate
2,-1,100,107.06447768211365,0.9340166053666383,0.11901340996168583
2,0,100,107.52421188354492,0.9300230919925823,0.1206896551724138
2,1,100,88.14311170578003,1.134518603493351,0.28803117380703586
2,2,100,80.75553297996521,1.2383052443577975,0.3654649947753396
2,3,100,75.56160926818848,1.323423375554021,0.4168408220132358
2,4,100,73.0984160900116,1.3680186979272226,0.45056165099268547
4,-1,100,46.62622380256653,2.1447158239414517,0.1196664925113201
4,0,100,47.202240228652954,2.1185435164854205,0.12090734935562522
4,1,100,40.88386559486389,2.4459526648224448,0.28803117380703586
4,2,100,38.90503191947937,2.5703615976197405,0.36733716475095785
4,3,100,39.12880206108093,2.555662190830626,0.43229710902124696
4,4,100,47.34307909011841,2.1122411537629016,0.3966388018112156
6,-1,100,34.68740487098694,2.882890789089889,0.11901340996168583
6,0,100,36.34739351272583,2.751228914529685,0.11901340996168583
6,1,100,32.5902624130249,3.068401190904016,0.28803117380703586
6,2,100,32.14518761634827,3.1108855606474175,0.36757662835249044
6,3,100,37.93371272087097,2.6361775008904,0.4112025426680599
6,4,100,62.75927472114563,1.5933899880826183,0.3758272378962034
8,-1,100,30.283867597579956,3.3020881390985606,0.1206896551724138
8,0,100,31.519829750061035,3.172605968780855,0.1196664925113201
8,1,100,29.03679633140564,3.443906099649221,0.28803117380703586
8,2,100,37.842918395996094,2.6425023290640377,0.34985632183908044
8,3,100,38.609625816345215,2.5900276909098,0.3809865900383142
8,4,100,47.662354469299316,2.0980919032108005,0.3756966213862766
10,-1,100,28.203049659729004,3.5457158430206754,0.11901340996168583
10,0,100,29.09273386001587,3.4372843913935784,0.12090734935562522
10,1,100,27.691327333450317,3.611238955642365,0.28803117380703586
10,2,100,28.816771745681763,3.470201342556185,0.360022640195054
10,3,100,52.10659313201904,1.9191429335369632,0.3429554162312783
10,4,100,48.66887354850769,2.054701346237882,0.4043887147335423
