cpu_infer,prefetch_num,eval_count,eval_duration,eval_rate,hit_rate,gpu_compute_max_num
2,1,,,,,1
2,2,,,,,1
2,3,,,,,1
2,4,,,,,1
2,1,,,,,2
2,2,,,,,2
2,3,,,,,2
2,4,,,,,2
2,1,,,,,3
2,2,100,119.35300946235657,0.83785067884308,0.3,3
2,3,100,114.89951539039612,0.8703256898884928,0.336,3
2,4,100,108.67694926261902,0.9201583286843001,0.35,3
2,1,100,117.49814486503601,0.8510772669208079,0.25,4
2,2,100,110.48017644882202,0.9051397564188651,0.343,4
2,3,100,109.84262800216675,0.9103933674823167,0.4,4
2,4,100,97.05368208885193,1.030357610836967,0.432,4
2,1,100,115.72286200523376,0.86413348466509,0.251,5
2,2,100,111.5516242980957,0.8964459337030658,0.347,5
2,3,100,103.10377144813538,0.9698966254624675,0.434,5
2,4,100,97.07440233230591,1.030137684058864,0.486,5
2,1,100,114.13940143585205,0.8761216437270473,0.258,6
2,2,100,103.78342890739441,0.9635449613948451,0.354,6
2,3,100,97.5096263885498,1.0255397718531576,0.453,6
2,4,100,87.30921125411987,1.1453545228915498,0.518,6
2,1,100,109.38604402542114,0.9141934045696009,0.253,7
2,2,100,99.66585159301758,1.003352687020093,0.353,7
2,3,100,88.38840985298157,1.1313700536793483,0.451,7
2,4,100,83.26993870735168,1.2009135776050628,0.507,7
2,1,100,105.3790283203125,0.9489554192513308,0.26,8
2,2,100,94.52739572525024,1.0578943726605587,0.353,8
2,3,100,84.22169184684753,1.1873425694397644,0.453,8
2,4,100,79.51779007911682,1.2575802207343068,0.501,8
4,1,100,57.43156862258911,1.7412026590662855,0.114,1
4,2,100,57.40929341316223,1.7418782579385135,0.12,1
4,3,100,54.60061740875244,1.8314811213832551,0.122,1
4,4,100,64.40724325180054,1.5526204034078799,0.123,1
4,1,100,56.76577043533325,1.7616249939550905,0.193,2
4,2,100,56.174580574035645,1.7801646043125212,0.224,2
4,3,100,57.77946639060974,1.7307186488010193,0.233,2
4,4,100,61.027162313461304,1.6386146137085276,0.236,2
4,1,100,55.67448544502258,1.7961549029267267,0.234,3
