cpu_infer,prefetch_num,eval_count,eval_duration,eval_rate,hit_rate,gpu_compute_max_num
2,1,100,118.09707164764404,0.8467610466952246,,4
2,2,100,112.69919848442078,0.8873177568678425,,4
2,3,100,108.28187584877014,0.9235155857445907,,4
2,4,100,106.94750833511353,0.9350381468136318,,4
2,5,100,107.86033606529236,0.9271248695114934,,4
2,6,100,107.83015203475952,0.927384392148168,,4
2,7,100,105.95751595497131,0.9437744845065726,,4
2,8,100,106.3525140285492,0.9402692631521251,,4
2,1,100,113.77246618270874,0.8789472827231208,,5
2,2,100,107.45141768455505,0.9306531468348778,,5
2,3,100,106.86631417274475,0.9357485637462367,,5
2,4,100,101.53789210319519,0.9848540079832246,,5
2,5,100,102.19256067276001,0.9785448113020574,,5
2,6,100,99.98988366127014,1.0001011736223648,,5
2,7,100,99.42081356048584,1.0058256055122883,,5
2,8,100,103.39255452156067,0.9671876322501228,,5
2,1,100,111.04461288452148,0.9005389581932525,,6
2,2,100,102.4433605670929,0.9761491564356416,,6
2,3,100,99.01209545135498,1.0099776147968749,,6
2,4,100,95.90349316596985,1.0427148865885496,,6
2,5,100,95.759272813797,1.0442852902031645,,6
2,6,100,96.10761141777039,1.0405003154777177,,6
2,7,100,94.51766562461853,1.0580032773677972,,6
2,8,100,95.8810076713562,1.0429594184362574,,6
2,1,100,105.66063976287842,0.9464262210073503,,7
2,2,100,98.30100703239441,1.0172835764240513,,7
2,3,100,93.69479727745056,1.0672951210287416,,7
2,4,100,94.49965739250183,1.058204894697688,,7
2,5,100,90.33607840538025,1.1069774310021874,,7
2,6,100,89.696284532547,1.1148733810006837,,7
2,7,100,91.15208196640015,1.0970676461000783,,7
2,8,100,89.51753377914429,1.1170995868442692,,7
2,1,100,100.03689193725586,0.9996312166787529,,8
2,2,100,95.75316333770752,1.0443519202317577,,8
2,3,100,92.41122913360596,1.0821195750510186,,8
2,4,100,86.62968492507935,1.15433872449708,,8
2,5,100,87.19944524765015,1.146796286558885,,8
2,6,100,85.32668709754944,1.171966279268236,,8
2,7,100,85.04938054084778,1.1757875173702375,,8
2,8,100,84.56417346000671,1.1825338782184565,,8
4,1,100,55.04430603981018,1.8167183346389382,,4
4,2,100,50.6562762260437,1.9740890458226659,,4
4,3,100,51.49336075782776,1.9419979299913632,,4
4,4,100,50.01575183868408,1.9993701248864604,,4
4,5,100,50.34465050697327,1.9863083563595092,,4
4,6,100,49.33849883079529,2.026814807295751,,4
4,7,100,53.22320008277893,1.8788798840443328,,4
4,8,100,50.3214328289032,1.9872248141265734,,4
4,1,100,50.820868730545044,1.967695604146504,,5
4,2,100,48.583470821380615,2.0583132145427534,,5
4,3,100,47.83609175682068,2.0904717824432546,,5
4,4,100,57.19033598899841,1.7485471674661397,,5
4,5,100,50.013710737228394,1.9994517208570894,,5
4,6,100,59.83103275299072,1.6713734561936235,,5
4,7,100,47.87221837043762,2.088894214723767,,5
4,8,100,64.64089870452881,1.5470081945657401,,5
4,1,100,49.82770037651062,2.0069158167921635,,6
4,2,100,48.403942584991455,2.065947413775482,,6
4,3,100,47.33102750778198,2.1127789795722984,,6
4,4,100,69.10018134117126,1.447174205032339,,6
4,5,100,56.16635012626648,1.7804254642716135,,6
4,6,100,61.32585620880127,1.6306335725590466,,6
4,7,100,54.8888463973999,1.82186375854926,,6
4,8,100,48.75780248641968,2.050953794069218,,6
4,1,100,50.471375465393066,1.9813210771037426,,7
4,2,100,45.96818518638611,2.1754176196978925,,7
4,3,100,44.57234215736389,2.243543757403352,,7
4,4,100,47.15774917602539,2.120542259697992,,7
4,5,100,54.84388518333435,1.8233573290024214,,7
4,6,100,46.79884171485901,2.1368050219979953,,7
4,7,100,52.806036710739136,1.8937228814913702,,7
4,8,100,52.90055322647095,1.8903393991343163,,7
4,1,100,50.24606919288635,1.9902054350981473,,8
4,2,100,44.99221873283386,2.222606548785807,,8
4,3,100,44.39890503883362,2.252307797062444,,8
4,4,100,50.071107387542725,1.9971597437623112,,8
4,5,100,57.82423114776611,1.7293788091095654,,8
4,6,100,59.958372831344604,1.6678237796960815,,8
4,7,100,48.53738188743591,2.0602676970074767,,8
4,8,100,58.104127168655396,1.7210481401731748,,8
6,1,100,40.87012553215027,2.446774965771405,,4
6,2,100,39.5061309337616,2.531252684998846,,4
6,3,100,44.601064920425415,2.242098931458567,,4
6,4,100,53.22157120704651,1.8789373882062326,,4
6,5,100,60.98102927207947,1.6398542496524506,,4
6,6,100,61.784855365753174,1.6185196098302945,,4
6,7,100,58.03759551048279,1.7230210714352894,,4
6,8,100,66.0856363773346,1.5131881219849617,,4
6,1,100,40.19615888595581,2.487799898585313,,5
6,2,100,38.32215857505798,2.609456348972083,,5
6,3,100,40.24510860443115,2.4847740127352913,,5
6,4,100,39.99847078323364,2.5000955797019495,,5
6,5,100,52.09987425804138,1.9193904289426467,,5
6,6,100,66.67883133888245,1.4997263448090303,,5
6,7,100,52.63168954849243,1.8999960073078135,,5
6,8,100,66.9138503074646,1.4944589130726567,,5
6,1,100,39.61746549606323,2.5241392589825553,,6
6,2,100,37.67593431472778,2.6542142038109806,,6
6,3,100,40.662654638290405,2.459259015170986,,6
6,4,100,51.2401807308197,1.9515934287064773,,6
6,5,100,49.623368978500366,2.0151795828962284,,6
6,6,100,51.468257188797,1.9429451367116977,,6
6,7,100,55.461546897888184,1.8030510433492384,,6
6,8,100,48.841891050338745,2.047422772736938,,6
6,1,100,38.97564959526062,2.5657045113664982,,7
6,2,100,37.02331185340881,2.7010009368136196,,7
6,3,100,39.309422731399536,2.543919321413034,,7
6,4,100,51.539358377456665,1.9402647442297232,,7
6,5,100,59.917569160461426,1.6689595622979359,,7
6,6,100,65.53239893913269,1.5259627545892414,,7
6,7,100,66.32305717468262,1.5077712677903037,,7
6,8,100,53.39448642730713,1.872852548851519,,7
6,1,100,38.359675884246826,2.6069041954827106,,8
6,2,100,36.56438684463501,2.7349015976914357,,8
6,3,100,47.33161020278931,2.112752969348735,,8
6,4,100,40.492292165756226,2.469605810178576,,8
6,5,100,63.350868940353394,1.5785103136336265,,8
6,6,100,47.18039131164551,2.1195245995197385,,8
6,7,100,66.87916922569275,1.4952338845977071,,8
6,8,100,48.888840198516846,2.0454565826054045,,8
8,1,100,35.6073055267334,2.808412445724701,,4
8,2,100,34.14410448074341,2.928763296644608,,4
8,3,100,35.92560577392578,2.783529959920074,,4
8,4,100,44.02458906173706,2.27145788595021,,4
8,5,100,56.89776158332825,1.757538384942392,,4
8,6,100,67.36207818984985,1.4845147698407566,,4
8,7,100,65.05950927734375,1.53705432319982,,4
8,8,100,55.44974708557129,1.8034347360625065,,4
8,1,100,34.90369439125061,2.8650262312939354,,5
8,2,100,33.51730751991272,2.9835332071524463,,5
8,3,100,43.73292684555054,2.286606619153691,,5
8,4,100,53.609790325164795,1.8653309291728255,,5
8,5,100,67.25327920913696,1.4869163433507953,,5
8,6,100,47.1749312877655,2.11976991317705,,5
8,7,100,48.762009143829346,2.050776860014896,,5
8,8,100,48.626229763031006,2.0565032593998653,,5
8,1,100,34.60992383956909,2.8893446996167977,,6
8,2,100,33.42609453201294,2.991674660173886,,6
8,3,100,33.033249855041504,3.0272528570100135,,6
8,4,100,40.860121965408325,2.4473739966967982,,6
8,5,100,44.012099742889404,2.272102457828225,,6
8,6,100,45.905598640441895,2.1783835297139995,,6
8,7,100,47.581565618515015,2.101654258326629,,6
8,8,100,71.15925240516663,1.40529863116914,,6
8,1,100,32.10782337188721,3.1145057340622304,,7
8,2,100,30.800220489501953,3.246730004224623,,7
8,3,100,31.87035584449768,3.137712063458642,,7
8,4,100,58.65036177635193,1.705019320789943,,7
8,5,100,44.35709357261658,2.254430846247646,,7
8,6,100,46.610355854034424,2.1454459672687602,,7
8,7,100,47.27127718925476,2.11544950646544,,7
8,8,100,47.52680230140686,2.1040759141719043,,7
8,1,100,31.86796283721924,3.137947678387775,,8
8,2,100,29.828800439834595,3.352464682637922,,8
8,3,100,32.18528628349304,3.1070098031499342,,8
8,4,100,38.80428695678711,2.5770348547149218,,8
8,5,100,43.09653091430664,2.3203723798289126,,8
8,6,100,46.430585861206055,2.153752707297897,,8
8,7,100,47.177836179733276,2.1196393920872136,,8
8,8,100,48.86635756492615,2.0463976646332864,,8
10,1,100,30.78281545639038,3.248565750643203,,4
10,2,100,29.138498544692993,3.431885820973883,,4
10,3,100,33.2517523765564,3.0073602999192115,,4
10,4,100,40.39039850234985,2.47583593398273,,4
10,5,100,44.5755820274353,2.2433806907659033,,4
10,6,100,58.77202343940735,1.7014898270960124,,4
10,7,100,70.0802161693573,1.4269362377298884,,4
10,8,100,48.92991518974304,2.0437394917243297,,4
10,1,100,30.27247381210327,3.3033309606834607,,5
10,2,100,33.27619504928589,3.0051512756157504,,5
10,3,100,33.495994091033936,2.98543162290465,,5
10,4,100,40.46860313415527,2.4710514387782405,,5
10,5,100,61.59972858428955,1.6233837761665737,,5
10,6,100,64.98474740982056,1.5388226312454345,,5
10,7,100,48.560675382614136,2.059279431599552,,5
10,8,100,48.24535584449768,2.0727383651664963,,5
10,1,100,32.90157389640808,3.0393682780907074,,6
10,2,100,29.177921772003174,3.4272488898079128,,6
10,3,100,32.96688532829285,3.033346917798691,,6
10,4,100,40.826622009277344,2.4493821697341565,,6
10,5,100,44.78949499130249,2.2326663879424995,,6
10,6,100,67.67868733406067,1.4775700288984916,,6
10,7,100,47.87718939781189,2.0886773275076638,,6
10,8,100,48.57987403869629,2.0584656090368827,,6
10,1,100,29.841267585754395,3.351064083073265,,7
10,2,100,29.552523612976074,3.3838057727188984,,7
10,3,100,33.40792798995972,2.9933014711374377,,7
10,4,100,40.72912931442261,2.4552452184286926,,7
10,5,100,45.140281677246094,2.21531626043014,,7
10,6,100,46.97382378578186,2.1288452150720634,,7
10,7,100,48.4002320766449,2.066105795559896,,7
10,8,100,64.25495982170105,1.5563000938369065,,7
10,1,100,29.819016933441162,3.3535646135890183,,8
10,2,100,29.387409687042236,3.4028177734934193,,8
10,3,100,33.25048613548279,3.007474825857851,,8
10,4,100,39.44132447242737,2.5354118133103762,,8
10,5,100,64.50222563743591,1.550334101060256,,8
10,6,100,47.78899383544922,2.09253202409592,,8
10,7,100,55.747849225997925,1.7937911755950784,,8
10,8,100,48.520936012268066,2.060966012170827,,8
